ID,ID_HECHO,FECHA,N_VICTIMAS
643,2021-0044,2021-05-25,1
644,2021-0045,2021-05-26,1
645,2021-0046,2021-05-31,1
646,2021-0047,2021-06-02,1
647,2021-0048,2021-06-03,1
648,2021-0049,2021-06-03,1
649,2021-0050,2021-06-10,1
650,2021-0051,2021-06-15,1
651,2021-0052,2021-06-20,1
652,2021-0053,2021-06-20,1
653,2021-0054,2021-06-22,1
654,2021-0055,2021-06-29,1
655,2021-0056,2021-07-09,1
656,2021-0057,2021-07-10,1
657,2021-0058,2021-07-21,1
658,2021-0059,2021-07-22,1
659,2021-0060,2021-07-22,1
660,2021-0061,2021-07-24,1
661,2021-0062,2021-07-27,1
662,2021-0063,2021-08-02,1
663,2021-0064,2021-08-02,1
664,2021-0065,2021-08-06,1
665,2021-0066,2021-08-06,1
666,2021-0067,2021-08-08,1
667,2021-0068,2021-08-15,1
668,2021-0069,2021-08-20,1
669,2021-0070,2021-08-28,1
670,2021-0071,2021-08-31,1
671,2021-0072,2021-09-01,1
672,2021-0073,2021-09-18,1
673,2021-0074,2021-09-20,1
674,2021-0075,2021-09-21,1
675,2021-0076,2021-10-16,1
676,2021-0077,2021-10-18,1
677,2021-0078,2021-10-23,1
678,2021-0079,2021-10-25,1
679,2021-0080,2021-10-28,1
680,2021-0081,2021-11-02,1
681,2021-0082,2021-11-06,1
682,2021-0083,2021-11-09,1
683,2021-0084,2021-11-11,1
684,2021-0085,2021-11-20,1
685,2021-0086,2021-11-25,1
686,2021-0087,2021-11-27,1
687,2021-0088,2021-12-01,1
688,2021-0089,2021-12-02,1
689,2021-0090,2021-12-10,1
690,2021-0091,2021-12-11,1
691,2021-0092,2021-12-12,1
692,2021-0093,2021-12-13,1
693,2021-0094,2021-12-20,1
694,2021-0095,2021-12-30,1
695,2021-0096,2021-12-15,1
696,2021-0097,2021-11-18,1
