ID,ID_HECHO,FECHA,CRUCE,SEMAFORO
597,2020-0077,2020-12-25,PUNTA ARENAS,False
598,2020-0078,2020-12-25,,False
599,2020-0079,2020-12-27,"GOYENECHE, ROBERTO PARQUE AV.",False
600,2021-0001,2021-01-06,,False
601,2021-0002,2021-01-07,MURGUIONDO,False
602,2021-0003,2021-01-10,,False
603,2021-0004,2021-01-11,GUARANI,False
604,2021-0005,2021-01-11,,False
605,2021-0006,2021-01-12,SARMIENTO AV.,False
606,2021-0007,2021-01-18,GIRIBONE,False
607,2021-0008,2021-01-22,"RABANAL, FRANCISCO, INTENDENTE AV.",False
608,2021-0009,2021-01-23,GAONA AV.,False
